name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set3IT002	Chloramphenicol 0.0006640625 mg/ml	6/20/2015 SynE_ML6_set3	2	845923	1513	562571	553956	169	123	291.709320695103	0.542980420448111	0.287807500356257	0.795180208111502	0.649092838140872	0.302414645358682	0.0873809370091977	0.00241277059448712	3.20444032121836	TRUE
set3IT003	Chloramphenicol 0.00033203125 mg/ml	6/20/2015 SynE_ML6_set3	3	858783	1695	563603	554961	193	123	292.238546603476	0.541631186995487	0.25367399691819	0.696607856550066	0.649092838140872	0.301356282370572	0.0851053556211501	-0.0331069195056279	1.64139790433864	TRUE
set3IT004	BG11	6/20/2015 SynE_ML6_set3	4	837870	1637	548534	539605	185	123	284.152185360716	0.489851513882231	0.246577918967122	0.680063202931729	0.649092838140872	0.279855870289638	0.135279667626474	-0.0701713893510361	1.90033489984476	TRUE
set3IT006	Tetracycline 0.00125 mg/ml	6/20/2015 SynE_ML6_set3	6	964343	1860	630529	622431	216	123	327.767772511848	0.526174000588685	0.297289162168929	0.72041069385253	0.649092838140872	0.297686806373167	0.0369764084232188	-0.0463329013299781	1.77750085874627	TRUE
set3IT007	Spectinomycin 0.0009765625 mg/ml	6/20/2015 SynE_ML6_set3	7	868839	1868	592946	582797	148	123	306.896787783044	0.57564292720689	0.316311431867102	0.773892163164565	0.649092838140872	0.253241999141638	0.128373774255875	-0.0291690094749417	7.88587226470629	TRUE
set3IT008	Carbenicillin 0.0048828125 mg/ml	6/20/2015 SynE_ML6_set3	8	931334	59	849972	843726	5	123	444.300157977883	0.186462322105701	0.501884655130466	0.84799690655495	0.649092838140872	0.167065540283186	0.0294876787607365	0.0553664936947761	12.588245430829	FALSE
set3IT009	Nalidixic 0.015625 mg/ml	6/20/2015 SynE_ML6_set3	9	3094410	7234	2260185	2250662	4	123	1185.18272775145	0.176441519970271	0.65889963217134	1	0.649092838140872	0.0978315519094321	0.0445557236654156	0.0677199244404836	5.27281050595761	FALSE
set3IT010	Nalidixic 0.0078125 mg/ml	6/20/2015 SynE_ML6_set3	10	2432922	4188	1605216	1586085	499	123	835.221169036335	0.512648238308474	0.374084542965556	0.851592278304357	0.649092838140872	0.25326582126041	0.00495544134799019	-0.0633491418122346	2.30843327916163	TRUE
set3IT011	Nalidixic 0.00390625 mg/ml	6/20/2015 SynE_ML6_set3	11	2381849	4407	1555219	1533359	524	123	807.456029489205	0.563916734173336	0.252633174843054	0.712197689017263	0.649092838140872	0.306869878845126	0.0890267312575354	-0.0588030731129161	1.69871565457809	TRUE
set3IT012	Gentamicin 0.0009765625 mg/ml	6/20/2015 SynE_ML6_set3	12	2461119	1384	2104097	1586321	34	123	835.345444971037	0.193105372146391	0.518783405932487	0.947532580105864	0.649092838140872	0.109275946140966	0.0468462838180457	0.0238971387641478	11.126780530142	FALSE
set3IT013	Gentamicin 0.00048828125 mg/ml	6/20/2015 SynE_ML6_set3	13	2733231	5395	1776324	1748203	572	123	920.591363875724	0.627478968010903	0.27664403690614	0.712423409903415	0.649092838140872	0.314677433943794	0.0590430311691848	-0.0427353350500139	3.03944898802985	TRUE
set3IT014	sodium fluoride 25 mM	6/20/2015 SynE_ML6_set3	14	2220486	4103	1470601	1452122	480	123	764.67719852554	0.517958262554629	0.323045279353901	0.766409372058688	0.649092838140872	0.268692074471917	0.0326645714291618	-0.03934028178095	2.63791713164983	TRUE
set3IT015	sodium fluoride 12.5 mM	6/20/2015 SynE_ML6_set3	15	2321039	4809	1524762	1505842	508	123	792.965771458662	0.545603928016365	0.277536017323155	0.736240439568938	0.649092838140872	0.338896951383809	0.0442456519398221	-0.0448626611452292	2.17279230267544	TRUE
